target,scenario,run,base_url,concurrency,duration_seconds,requests,throughput_rps,average_response_ms,p95_response_ms,error_rate_pct,host_cpu_avg_pct,host_cpu_max_pct,host_memory_avg_pct,host_memory_max_pct,container_cpu_avg_pct,container_cpu_max_pct,container_memory_avg_mib,container_memory_max_mib,resource_samples,raw_file,resource_file
microservices,course_detail,1,http://localhost:3000,10,20,7900,394.6957,25.282,37.996,0.0,40.69,90.9,66.1,67.9,704.845,2106.16,3475.414,3999.216,60,results\performance\perf-20260902-03\microservices\course_detail\run-01\benchmark.json,results\performance\perf-20260902-03\microservices\course_detail\run-01\resources.csv
microservices,course_detail,2,http://localhost:3000,10,20,9573,478.3338,20.855,25.843,0.0,32.09,48.8,68.2,68.4,475.333,758.13,4062.764,4124.844,60,results\performance\perf-20260902-03\microservices\course_detail\run-02\benchmark.json,results\performance\perf-20260902-03\microservices\course_detail\run-02\resources.csv
microservices,course_detail,3,http://localhost:3000,10,20,10201,509.5995,19.575,24.17,0.0,37.555,50.0,68.291,68.4,407.085,738.17,4014.447,4055.372,66,results\performance\perf-20260902-03\microservices\course_detail\run-03\benchmark.json,results\performance\perf-20260902-03\microservices\course_detail\run-03\resources.csv
microservices,judge_submit,1,http://localhost:3000,10,20,141,6.594,1454.056,2516.121,0.0,14.555,22.9,67.873,68.0,23.033,43.23,3949.941,3956.902,66,results\performance\perf-20260902-03\microservices\judge_submit\run-01\benchmark.json,results\performance\perf-20260902-03\microservices\judge_submit\run-01\resources.csv
microservices,judge_submit,2,http://localhost:3000,10,20,153,7.0168,1367.872,2598.36,0.0,19.655,33.4,68.209,69.2,23.625,73.69,3936.199,3945.6,66,results\performance\perf-20260902-03\microservices\judge_submit\run-02\benchmark.json,results\performance\perf-20260902-03\microservices\judge_submit\run-02\resources.csv
microservices,judge_submit,3,http://localhost:3000,10,20,140,6.5263,1480.697,2838.432,0.0,18.955,41.2,67.573,68.5,22.652,59.77,3921.765,3927.618,66,results\performance\perf-20260902-03\microservices\judge_submit\run-03\benchmark.json,results\performance\perf-20260902-03\microservices\judge_submit\run-03\resources.csv
microservices,login,1,http://localhost:3000,10,20,2426,121.0631,82.517,94.621,0.0,33.55,51.4,62.99,63.4,713.853,1093.01,2449.302,2548.41,60,results\performance\perf-20260902-03\microservices\login\run-01\benchmark.json,results\performance\perf-20260902-03\microservices\login\run-01\resources.csv
microservices,login,2,http://localhost:3000,10,20,2527,125.9827,79.26,86.158,0.0,35.09,48.7,63.79,63.9,643.993,922.06,2660.751,2700.98,60,results\performance\perf-20260902-03\microservices\login\run-02\benchmark.json,results\performance\perf-20260902-03\microservices\login\run-02\resources.csv
microservices,login,3,http://localhost:3000,10,20,2410,120.1277,83.107,96.54,0.0,38.42,55.1,64.33,64.7,696.549,1344.08,2870.397,2983.2,60,results\performance\perf-20260902-03\microservices\login\run-03\benchmark.json,results\performance\perf-20260902-03\microservices\login\run-03\resources.csv
monolith,course_detail,1,http://localhost:8081,10,20,17295,864.3818,11.534,15.734,0.0,27.582,42.0,59.173,59.2,95.03,171.83,370.345,372.5,11,results\performance\perf-20260902-03\monolith\course_detail\run-01\benchmark.json,results\performance\perf-20260902-03\monolith\course_detail\run-01\resources.csv
monolith,course_detail,2,http://localhost:8081,10,20,17342,866.7847,11.501,15.968,0.0,28.936,35.6,60.009,60.3,88.845,171.44,372.455,372.6,11,results\performance\perf-20260902-03\monolith\course_detail\run-02\benchmark.json,results\performance\perf-20260902-03\monolith\course_detail\run-02\resources.csv
monolith,course_detail,3,http://localhost:8081,10,20,17904,894.792,11.14,14.932,0.0,25.273,35.0,60.073,60.2,100.155,173.79,372.373,372.6,11,results\performance\perf-20260902-03\monolith\course_detail\run-03\benchmark.json,results\performance\perf-20260902-03\monolith\course_detail\run-03\resources.csv
monolith,judge_submit,1,http://localhost:8081,10,20,3659,182.4391,54.671,60.341,0.0,20.955,26.4,59.891,59.9,1.035,3.68,372.327,372.4,11,results\performance\perf-20260902-03\monolith\judge_submit\run-01\benchmark.json,results\performance\perf-20260902-03\monolith\judge_submit\run-01\resources.csv
monolith,judge_submit,2,http://localhost:8081,10,20,3702,184.6611,54.081,58.444,0.0,20.918,25.3,59.782,59.9,0.97,3.45,372.355,372.6,11,results\performance\perf-20260902-03\monolith\judge_submit\run-02\benchmark.json,results\performance\perf-20260902-03\monolith\judge_submit\run-02\resources.csv
monolith,judge_submit,3,http://localhost:8081,10,20,3726,186.0852,53.66,58.28,0.0,19.145,23.8,59.791,59.9,0.445,0.49,372.445,372.7,11,results\performance\perf-20260902-03\monolith\judge_submit\run-03\benchmark.json,results\performance\perf-20260902-03\monolith\judge_submit\run-03\resources.csv
monolith,login,1,http://localhost:8081,10,20,2614,130.3107,76.641,82.32,0.0,35.86,47.3,58.44,58.6,3.739,8.47,365.03,365.7,10,results\performance\perf-20260902-03\monolith\login\run-01\benchmark.json,results\performance\perf-20260902-03\monolith\login\run-01\resources.csv
monolith,login,2,http://localhost:8081,10,20,2639,131.5324,75.853,80.833,0.0,32.35,50.1,58.85,59.0,3.021,4.25,365.18,365.5,10,results\performance\perf-20260902-03\monolith\login\run-02\benchmark.json,results\performance\perf-20260902-03\monolith\login\run-02\resources.csv
monolith,login,3,http://localhost:8081,10,20,2439,121.593,82.099,88.332,0.0,31.56,48.1,59.01,59.1,2.991,4.41,365.19,365.5,10,results\performance\perf-20260902-03\monolith\login\run-03\benchmark.json,results\performance\perf-20260902-03\monolith\login\run-03\resources.csv
